ticker,industry
ATRS,"medical equipment, supplies & distribution"
ATSG,air freight & courier services
ATTO,business support services
ATTU,software
ATU,industrial machinery & equipment
ATUS,integrated telecommunications services
ATV,computer & electronics retailers
ATVI,internet services
ATXI,pharmaceuticals
AU,gold
AUBN,banks
AUDC,communications & networking
AUG,integrated mining
AUMN,precious metals & minerals
AUO,electronic equipments & parts
AUPH,biotechnology & medical research
AUSE,exchange traded fund
AUTO,advertising & marketing
AUY,integrated mining
AVA,multiline utilities
AVAL,banks
AVAV,aerospace & defense
AVB,residential reits
AVD,agricultural chemicals
AVDL,pharmaceuticals
AVEO,biotechnology & medical research
AVGO,semiconductors
AVGR,advanced medical equipment & technology
AVH,airlines
AVHI,real estate development & operations
AVID,computer hardware
AVNW,communications & networking
AVP,personal products
AVT,electronic equipments & parts
AVX,electrical components & equipment
AVXL,biotechnology & medical research
AVY,non-paper containers & packaging
AVYA,communications & networking
AWI,construction materials
AWK,water utilities
AWR,water utilities
AWRE,software
AWX,environmental services & equipment
AXAS,oil & gas exploration and production
AXDX,advanced medical equipment & technology
AXE,electrical components & equipment
AXGN,advanced medical equipment & technology
AXJL,exchange traded fund
AXJV,exchange traded fund
AXL,"auto, truck & motorcycle parts"
AXON,biotechnology & medical research
AXP,consumer lending
AXR,business support services
AXS,reinsurance
AXSM,biotechnology & medical research
AXTA,commodity chemicals
AXTI,semiconductors
AXU,environmental services & equipment
AY,electric utilities
AYI,construction supplies & fixtures
AYR,business support services
AYTU,biotechnology & medical research
AYX,software
AZN,pharmaceuticals
AZO,"auto vehicles, parts & service retailers"
AZPN,it services & consulting
AZRE,electric utilities
AZRX,pharmaceuticals
AZUL,airlines
AZZ,electrical components & equipment
B,industrial machinery & equipment
BA,aerospace & defense
BAB,exchange traded fund
BABA,internet services
BABY,advanced medical equipment & technology
BAC,banks
BAH,it services & consulting
BAK,commodity chemicals
BAM,investment management & fund operators
BANC,banks
BAND,integrated telecommunications services
BANF,banks
BANR,banks
BAP,banks
BAR,exchange traded fund
BAS,oil related services and equipment
BASI,biotechnology & medical research
BATRA,broadcasting
BATRK,broadcasting
BAX,"medical equipment, supplies & distribution"
BB,wireless telecommunications services
BBBY,home furnishings retailers
BBC,exchange traded fund
BBD,banks
BBDO,banks
BBGI,broadcasting
BBH,exchange traded fund
BBL,integrated mining
BBOX,integrated telecommunications services
BBP,exchange traded fund
BBRC,exchange traded fund
BBSI,employment services
BBT,banks
BBU,business support services
BBVA,banks
BBW,other specialty retailers
BBX,holding companies
BBY,computer & electronics retailers
BC,recreational products
BCAC,holding companies
BCACU,holding companies
BCBP,banks
BCC,forest & wood products
BCD,exchange traded fund
BCE,integrated telecommunications services
BCEI,oil & gas exploration and production
BCH,banks
BCI,exchange traded fund
BCLI,biotechnology & medical research
BCML,banks
BCO,business support services
BCOM,integrated telecommunications services
BCOR,internet services
BCOV,software
BCPC,food processing
BCRH,reinsurance
BCRX,biotechnology & medical research
BCS,banks
BCTF,banks
BDC,communications & networking
BDGE,banks
BDL,leisure & recreation
BDN,commercial reits
BDR,aerospace & defense
BDRY,exchange traded fund
BDSI,pharmaceuticals
BDX,"medical equipment, supplies & distribution"
BEAT,healthcare facilities & services
BECN,construction supplies & fixtures
BEDU,personal services
BEF,exchange traded fund
BEL,"hotels, motels & cruise lines"
BELFA,electrical components & equipment
BELFB,electrical components & equipment
BEMO,exchange traded fund
BEN,investment management & fund operators
BEP,independent power producers
BERY,non-paper containers & packaging
BF.A,distillers & wineries
BF.B,distillers & wineries
BFAM,personal services
BFIN,banks
BFIT,exchange traded fund
BFOR,exchange traded fund
BFR,banks
BFRA,pharmaceuticals
BFS,commercial reits
BFST,banks
BG,food processing
BGCP,investment banking & brokerage services
BGFV,other specialty retailers
BGG,"auto, truck & motorcycle parts"
BGI,apparel & accessories
BGNE,biotechnology & medical research
BGS,food processing
BGSF,employment services
BHB,banks
BHBK,banks
BHE,semiconductors
BHF,multiline insurance & brokers
BHGE,oil related services and equipment
BHLB,banks
BHP,integrated mining
BHR,specialized reits
BHTG,environmental services & equipment
BHVN,biotechnology & medical research
BIB,exchange traded fund
BIBL,exchange traded fund
BICK,exchange traded fund
BID,home furnishings retailers
BIDU,internet services
BIG,discount stores
BIIB,pharmaceuticals
BIL,exchange traded fund
BILI,internet services
BIO,"medical equipment, supplies & distribution"
BIO.B,"medical equipment, supplies & distribution"
BIOC,"medical equipment, supplies & distribution"
BIOL,advanced medical equipment & technology
BIOS,healthcare facilities & services
BIP,highways & rail tracks
BIS,exchange traded fund
BITA,internet services
BIV,exchange traded fund
BIZD,exchange traded fund
BJK,exchange traded fund
BJRI,restaurants & bars
BK,investment management & fund operators
BKC,exchange traded fund
BKCC,closed end funds
BKD,healthcare facilities & services
BKE,apparel & accessories retailers
BKEP,oil & gas transportation services
BKF,exchange traded fund
BKH,multiline utilities
BKI,software
BKJ,banks
BKLN,exchange traded fund
BKNG,leisure & recreation
BKS,other specialty retailers
BKSC,banks
BKU,banks
BKYI,electronic equipments & parts
BL,software
BLBD,heavy machinery & vehicles
BLCM,biotechnology & medical research
BLCN,exchange traded fund
BLD,construction & engineering
BLDP,renewable energy equipment & services
BLDR,construction supplies & fixtures
BLES,exchange traded fund
BLFS,pharmaceuticals
BLHY,exchange traded fund
BLIN,software
BLK,investment management & fund operators
BLKB,software
BLL,non-paper containers & packaging
BLMN,restaurants & bars
BLMT,banks
BLNK,business support services
BLOK,exchange traded fund
BLPH,biotechnology & medical research
BLRX,biotechnology & medical research
BLUE,biotechnology & medical research
BLV,exchange traded fund
BLX,corporate financial services
BMA,banks
BMCH,forest & wood products
